Thu Nov 11 18:29:18 2021    output.dat

         200387563 function calls (200265234 primitive calls) in 140.265 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13630    0.027    0.000    0.151    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2123(sum)
    49654    0.026    0.000    0.032    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
9645/2708    0.026    0.000    0.374    0.000 C:\Users\timot\EI_ST5\individual_vector.py:13(dicho_l)
   199847    0.026    0.000    0.026    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:822(get_animated)
   165279    0.025    0.000    0.028    0.000 {method 'get' of 'dict' objects}
   271357    0.025    0.000    0.025    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2546(name)
    37872    0.024    0.000    0.044    0.000 {built-in method builtins.any}
  8220/31    0.024    0.000    0.123    0.004 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1835(_parseCache)
    42353    0.023    0.000    0.069    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:356(pchanged)
    18075    0.023    0.000    0.033    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
     3984    0.022    0.000  133.579    0.034 C:\Users\timot\EI_ST5\run_algo_gen.py:13(fitness_function)
   178573    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
     8473    0.022    0.000    0.055    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:780(__init__)
    23971    0.021    0.000    0.152    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:149(ones)
   154587    0.021    0.000    0.021    0.000 {method 'pop' of 'dict' objects}
    43290    0.021    0.000    0.021    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:107(__init__)
     7052    0.021    0.000    0.107    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\markers.py:296(_set_marker)
     9972    0.021    0.000    0.021    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:1791(<dictcomp>)
    23469    0.021    0.000    0.034    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1750(__init__)
    24046    0.020    0.000    0.115    0.000 <__array_function__ internals>:2(copyto)
       16    0.019    0.001    0.020    0.001 {built-in method matplotlib._image.resample}
     3986    0.019    0.000    0.170    0.000 C:\Users\timot\EI_ST5\preprocessing.py:43(_set_coefficients_of_pde)
    28259    0.019    0.000    0.053    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:123(__exit__)
    13516    0.018    0.000    0.155    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
     3986    0.018    0.000    1.878    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:389(_add_sparse)
     2492    0.018    0.000    0.273    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:749(set_clip_path)
    39860    0.018    0.000    0.018    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\_lib\_util.py:143(_prune_array)
     2594    0.018    0.000    0.315    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:129(__init__)
     6479    0.017    0.000    0.020    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:813(set_weight)
    28259    0.017    0.000    0.056    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:261(helper)
     8389    0.017    0.000    0.022    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\__init__.py:64(check_isinstance)
    18075    0.017    0.000    0.050    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
    11990    0.017    0.000    0.041    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:1858(isscalar)
     1296    0.016    0.000    0.165    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:665(draw)
    31888    0.016    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:525(min)
    11958    0.016    0.000    0.060    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:193(isscalarlike)
     1613    0.016    0.000    0.140    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:744(draw)
     2708    0.016    0.000    0.452    0.000 C:\Users\timot\EI_ST5\individual_vector.py:73(normalize)
    59686    0.016    0.000    0.049    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
      493    0.016    0.000    0.018    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    39860    0.016    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:538(max)
      505    0.016    0.000   68.078    0.135 C:\Users\timot\EI_ST5\individual_vector.py:46(crossover)
     1761    0.015    0.000    0.637    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:287(_get_layout)
    31309    0.015    0.000    0.515    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:3038(bind)
    18358    0.015    0.000    0.150    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
    28259    0.015    0.000    0.080    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:114(__enter__)
    24039    0.015    0.000    0.015    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:1928(shape)
    12654    0.015    0.000    0.062    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\markers.py:238(_recache)
     9424    0.015    0.000    0.042    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1867(__init__)
     5701    0.015    0.000    0.023    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:697(__hash__)
4580/3552    0.015    0.000    0.371    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\spines.py:330(get_spine_transform)
    93861    0.014    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:419(<genexpr>)
16232/11443    0.014    0.000    0.018    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
9920/9710    0.014    0.000    0.931    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1152(set)
    15944    0.014    0.000    0.027    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:91(to_native)
   137848    0.014    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2550(default)
