Fri Nov 12 04:02:17 2021    output.dat

         193316222 function calls (193192901 primitive calls) in 125.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15376    0.095    0.000    0.387    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:136(check_format)
188267/159475    0.086    0.000    0.204    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:241(stale)
    30752    0.083    0.000    0.125    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:277(check_shape)
    69192    0.083    0.000    0.083    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:514(__init__)
     8182    0.081    0.000    0.081    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
15376/11532    0.078    0.000    0.895    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:27(__init__)
     1135    0.077    0.000    0.077    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     7688    0.074    0.000    0.074    0.000 {scipy.sparse._csparsetools.lil_get_lengths}
    19220    0.071    0.000    0.153    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:1148(prune)
   198833    0.070    0.000    0.099    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
     3844    0.064    0.000    0.064    0.000 {built-in method scipy.sparse._sparsetools.csr_plus_csr}
       25    0.063    0.003    0.232    0.009 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
       16    0.058    0.004    0.058    0.004 {built-in method matplotlib.backends._tkagg.blit}
     3842    0.057    0.000    0.162    0.000 C:\Users\timot\EI_ST5\utils.py:82(J)
30509/8717    0.057    0.000    2.945    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
       13    0.056    0.004    0.140    0.011 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5462(oneOf)
    30563    0.054    0.000    0.195    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
182499/182477    0.053    0.000    0.075    0.000 {built-in method builtins.getattr}
    27502    0.051    0.000    0.051    0.000 {built-in method numpy.zeros}
     3844    0.051    0.000    3.738    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\linalg\dsolve\linsolve.py:91(spsolve)
     3206    0.050    0.000    0.420    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:276(__init__)
    18075    0.046    0.000    0.051    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
     9736    0.044    0.000    0.072    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:1726(normalize_kwargs)
    26908    0.043    0.000    0.236    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:220(isshape)
   513394    0.043    0.000    0.043    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2558(kind)
15051/2452    0.042    0.000    0.497    0.000 C:\Users\timot\EI_ST5\individual_vector.py:16(dicho_l)
     3844    0.041    0.000    0.061    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:64(upcast_scalar)
     7412    0.040    0.000    0.067    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:99(__init__)
     3844    0.039    0.000    0.855    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:1218(_binopt)
    88412    0.037    0.000    0.037    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:108(getnnz)
   239855    0.036    0.000    0.104    0.000 {built-in method builtins.next}
    69216    0.036    0.000    0.101    0.000 <__array_function__ internals>:2(can_cast)
    33342    0.036    0.000    0.051    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:2094(_setattr_cm)
    88412    0.034    0.000    0.071    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:238(nnz)
        9    0.033    0.004    0.033    0.004 {method 'tobytes' of 'numpy.ndarray' objects}
     1018    0.033    0.000    0.797    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:57(__init__)
40689/39971    0.033    0.000    0.115    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:259(process)
    16020    0.031    0.000    0.037    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:207(set_children)
     6000    0.030    0.000    0.128    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:638(__init__)
    18964    0.029    0.000    0.162    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2123(sum)
   198907    0.028    0.000    0.028    0.000 {function RcParams.__getitem__ at 0x000002755D553310}
    15376    0.027    0.000    0.027    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:95(getdtype)
   177832    0.027    0.000    0.048    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5504(<lambda>)
    26596    0.027    0.000    0.032    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
     2059    0.027    0.000    0.027    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    11323    0.026    0.000    0.072    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\pyplot.py:822(_auto_draw_if_interactive)
    92256    0.026    0.000    0.032    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:290(<genexpr>)
     7688    0.026    0.000    4.667    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:359(copy)
    58568    0.026    0.000    0.027    0.000 {built-in method _abc._abc_instancecheck}
   210863    0.025    0.000    0.025    0.000 {method 'items' of 'dict' objects}
    30752    0.024    0.000    0.024    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:66(__init__)
   188492    0.024    0.000    0.024    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:822(get_animated)
    23203    0.023    0.000    0.058    0.000 <__array_function__ internals>:2(shape)
   263867    0.022    0.000    0.022    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2546(name)
    46812    0.022    0.000    0.027    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
   160021    0.022    0.000    0.024    0.000 {method 'get' of 'dict' objects}
     1548    0.022    0.000    0.099    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:660(recache)
    36513    0.021    0.000    0.038    0.000 {built-in method builtins.any}
    23475    0.021    0.000    0.021    0.000 {method 'copy' of 'numpy.ndarray' objects}
   178592    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
